service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4929,1,1,1,1,1,0,0,20121001,20190211
4930,0,0,0,0,0,1,0,20121001,20190211
4951,0,0,0,0,0,1,1,20121001,20190211
9134,1,0,0,0,0,0,0,20160215,20160215
8775,0,0,0,0,0,1,0,20151219,20151219
4956,0,0,0,0,0,0,1,20160207,20160207
5191,0,0,0,0,0,1,0,20160206,20160206
1964,0,0,0,1,0,0,0,20151224,20151224
